url_domain
etsy.com
globo.com
booking.com
pinterest.com
ok.ru
indeed.com
zillow.com
mercadolivre.com.br
uol.com.br
zoom.us
walmart.com
google.es
yandex.ru
google.com.br
mail.ru
accuweather.com
docomo.ne.jp
google.pl
allegro.pl
outbrain.com
office365.com
taboola.com
google.fr
hulu.com
wordpress.com
